Clinique_Article,BaseCahpp_Article,cip_match,ucd_match,idt_match,Clinique_IDT,Clinique_CIP,Clinique_UCD,CAHPP_IDT,CAHPP_CIP,CAHPP_CIP13,CAHPP_UCD,CAHPP_UCD13
429levofolinate de calcium 50 mg5 ml zentiva sol inj im iv flac,LEVOFOLINATE CA ZENTIVA  50 MG SOL   BOITE DE 5 FLACONS,1,1,1,94206,3400938441062,3400893149355,94206,3844106,3400938441062,9314935,3400893149355
426levofolinate de calcium 100 mg10 ml zentiva sol inj im iv flac,LEVOFOLINATE CA ZENTIVA 100 MG SOL  BOITE DE 5 FLACONS,1,1,1,94208,3400938441123,3400893149126,94208,3844112,3400938441123,9314912,3400893149126
427levofolinate de calcium 175 mg175 ml zentiva sol inj im iv flac,LEVOFOLINATE CA ZENTIVA 175 MG SOL  BOITE DE 5 FLACONS,1,1,1,94210,3400938441291,3400893149294,94210,3844129,3400938441291,9314929,3400893149294
234erbitux 100 mg20 ml sol pr perf flac,ERBITUX  100 MG / 20 ML  BOITE DE 1 FLACON,1,1,1,161214,3400957075088,3400893011287,161214,5707508,3400957075088,9301128,3400893011287
8499erbitux 500 mg100 ml sol pr perf flac,ERBITUX 500 MG / 100 ML  BOITE DE 1 FLACON,1,1,1,161215,3400957075200,3400893011119,161215,5707520,3400957075200,9301111,3400893011119
13616adrenaline 025 mg1 ml renaudin sol inj amp,"ADRENALINE  0,25 MG / 1 ML SOLUTION INJECTABLE BOITE DE 10 AMPOULES",1,1,1,115136,3400936433946,3400892620909,115136,3643394,3400936433946,9262090,3400892620909
17485adrenaline 5 mg5 ml renaudin sol inj amp,ADRENALINE  5 MG / 5 ML SOLUTION INJECTABLE BOITE DE 10 AMPOULES,1,1,1,115139,3400936432994,3400892620268,115139,3643299,3400936432994,9262026,3400892620268
13670hydroxyzine 100 mg2 ml renaudin sol inj amp,HYDROXYZINE RENAUDIN 100 MG 2 ML  BOITE DE 10 AMPOULES,1,1,1,164373,3400936135659,3400892497068,164373,3613565,3400936135659,9249706,3400892497068
3058scoburen 20 mg1 ml sol inj amp,SCOBUREN 20 MG 1 ML  BOITE DE 10 AMPOULES,1,1,1,164464,3400935159281,3400892240893,164464,3515928,3400935159281,9224089,3400892240893
257furosemide 20 mg2 ml renaudin sol inj im iv amp,FUROSEMIDE RENAUDIN 20 MG 2 ML  BOITE DE 10 AMPOULES,0,1,1,164474,3400956189113,3400892088310,164474,5870220,3400958702204,9208831,3400892088310
6681sodium bicarbonate 84 renaudin sol inj amp 10 ml,SODIUM BICARBONATE 840 MG 10 ML  BOITE DE 10 AMPOULES,0,1,1,164689,3400956806898,3400892809694,164689,3701447,3400937014472,9280969,3400892809694
2319phenylephrine 500 ug10 ml renaudin sol inj amp,PHENYLEPHRINE  50 µG/ML - 500 µG/10ML BOITE DE 10 AMPOULES,1,1,1,255047,3400958056420,3400893802632,255047,5805642,3400958056420,9380263,3400893802632
23943neostigmine 5 mg5 ml renaudin sol inj amp,NEOSTIGMINE 5 MG 5 ML  BOITE DE 10 AMPOULES,1,1,1,274469,3400926939588,3400893934906,274469,2693958,3400926939588,9393490,3400893934906
3901rhophylac 200 ug2 ml sol inj srg,RHOPHYLAC (ANTI D)  200 ?G/2 ML  BOITE DE    1 SERINGUE,1,1,1,118200,3400936397026,3400892674957,118200,3639702,3400936397026,9267495,3400892674957
22691riastap 1 g pdr pr sol inj ou pr perf,RIASTAP 1 GR FIBRINOGENE HUMAIN 50 ML  BOITE DE 1 FLACON,1,1,1,129079,3400949488421,3400893605271,129079,4948842,3400949488421,9360527,3400893605271
5886privigen 5 g50 ml sol pr perf flac,PRIVIGEN 100 MG/ML  50 ML BOITE DE 1 FLACON,1,1,1,176462,3400957279073,3400893126752,176462,5727907,3400957279073,9312675,3400893126752
14484privigen 20 g200 ml sol pr perf flac,PRIVIGEN 100 MG/ML 200 ML BOITE DE 1 FLACON,1,1,1,176464,3400957279363,3400893126691,176464,5727936,3400957279363,9312669,3400893126691
15212privigen 40 g400 ml sol pr perf flac,PRIVIGEN 100 MG/ML 400 ML BOITE DE 1 FLACON,1,1,1,273766,3400958540660,3400893951125,273766,5854066,3400958540660,9395112,3400893951125
24734mednutriflex omega e 1 900 kcal1 875 ml émulsion pr perf poche tricomp,MEDNUTRIFLEX OMEGA E     N3CN  1875 ML  BOITE DE 5 POCHES,1,1,1,260813,3400930077436,3400894311157,260813,3007743,3400930077436,9431115,3400894311157
